state,points
Arizona,84.85897435897436
California,88.10628883917475
Colorado,85.58163265306122
Connecticut,83.8
Hawaii,87.0
Idaho,86.13496932515338
Illinois,84.5
Iowa,83.25
Kentucky,82.4
Massachusetts,85.0
Michigan,85.62222222222222
Missouri,83.6774193548387
Nevada,84.2
New Jersey,83.5625
New Mexico,83.95
New York,86.69848752700845
North Carolina,84.27906976744185
Ohio,83.80434782608695
Oregon,88.80151057401812
Pennsylvania,83.77941176470588
Rhode Island,90.0
Texas,85.21641791044776
Vermont,84.4
Virginia,85.4264475743349
Washington,88.91405266327257
