state,value
Arizona,28.46153846153846
California,37.09226945065871
Colorado,29.785714285714285
Connecticut,14.8
Hawaii,28.0
Idaho,20.570552147239265
Illinois,32.333333333333336
Iowa,14.625
Kentucky,31.6
Massachusetts,21.647058823529413
Michigan,30.57777777777778
Missouri,19.462365591397848
Nevada,45.2
New Jersey,21.03125
New Mexico,21.37857142857143
New York,21.8558240031428
North Carolina,20.697674418604652
Ohio,14.434782608695652
Oregon,35.40946626384693
Pennsylvania,23.91176470588235
Rhode Island,25.0
Texas,23.246268656716417
Vermont,33.0
Virginia,26.420970266040687
Washington,30.82306892209996
